"day" "d400" "d300"
1 8.87216318825713 7.89380116335795
2 5.27495989273885 8.80105438477662
3 4.59459538137051 9.3869560421514
4 4.02475389888125 6.86041752733802
5 3.51331069332437 6.10053788910791
6 3.0627375843166 5.42135868791137
7 2.67303592442411 4.78811167290917
8 2.35110280712824 4.20181928833751
9 2.14378749236843 3.67098293160678
10 1.95330166474416 3.20093546749764
11 1.80593398319421 2.79162336247939
12 1.67149970362741 2.44346997429493
13 1.56439889265895 2.20263128328415
14 1.48314301067912 2.01542896424664
15 1.40765540210036 1.84863809495922
16 1.34651029728134 1.71501487076048
17 1.30086009430408 1.59494937077016
18 1.26534946717986 1.5077789466848
19 1.24305376528089 1.43156808314518
20 1.23481435795767 1.36418921763972
21 1.23946858729946 1.31420270372779
22 1.25729465999841 1.27570490015662
23 1.288443757221 1.24862699418498
24 NA 1.23600566131119
25 NA 1.23659549264183
26 NA 1.25009715567763
27 NA 1.27706603841103
28 NA 1.31670744508647
29 NA NA
30 NA NA
